ESTANTE,CATEGORIA,DESCRIPCION,MODELO,CANTIDAD,ESTADO,CONDICION,OBSERVACIONES
A1,Circuito Integrado,Octal Transparent Latch w/ Three-State Outputs,74374,106,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 4-bit Decade counter,74390,64,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal D-Type Triggered Flip-Flop w/Three State Outputs,74574,69,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal Bus Transceiver Open-Collector,74641,7,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex Inverting TTL Buffer,74C901,6,DISPONIBLE,BUENO,
A1,Circuito Integrado,20-Key Encoder,74C923,5,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dul 4-Channel analog multiplexer/ demultiplexer,74HC4052N,3,DISPONIBLE,BUENO,
A1,Circuito Integrado,EE Prom,MC68HC908GP32CP,3,DISPONIBLE,BUENO,
A1,Circuito Integrado,,DV339,49,DISPONIBLE,BUENO,
A1,Circuito Integrado,,SN74LSI60AN,49,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal 3-STATE Buffer/Line Driver/Line Receiver,74240,5,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit Magnitude Comparator,7485,24,DISPONIBLE,BUENO,
A1,Circuito Integrado,Single 8-Channel Analog Multiplexer/Demultiplexer,CD4051,14,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal Bus Transceiver three-state,74645,4,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex inverting CMOS buffer,74C903,13,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-digit counters w/multiplexed 7*segment output drivers,74C925,19,DISPONIBLE,BUENO,
A1,Circuito Integrado,octal transparent latch w/three-state outputs,74373,134,DISPONIBLE,BUENO,
A1,Circuito Integrado,octal register w/inverting three- state outputs,74534,13,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit shift register with output latches,74595,15,DISPONIBLE,BUENO,
