ACTIVOTEC,ESTANTE,CATEGORIA,DESCRIPCION,MARCA,MODELO,SERIE,CANTIDAD,CONDICION,ESTADO,OBSERVACIONES
3629,E,televisor/monitor,Coby LCD con adaptador de 12V,Coby,,,1,BUENO,DISPONIBLE,"Pantalla con control remoto, cable de alimentacion, cable VGA,  Cable A/V"
3693,E,televisor/monitor,Coby LCD con adaptador de 12V,Coby,,,1,BUENO,DISPONIBLE,"Pantalla con control remoto, cable de alimentacion, cable VGA,  Cable A/V"
4615,E,televisor/monitor,Coby LCD con adaptador de 12V,Coby,,,1,BUENO,DISPONIBLE,"Pantalla con control remoto, cable de alimentacion, cable VGA,  Cable A/V"
4620,E,televisor/monitor,Coby LCD con adaptador de 12V,Coby,,,1,BUENO,DISPONIBLE,"Pantalla con control remoto, cable de alimentacion, cable VGA,  Cable A/V"
6008,E,otros,Caja National Instruments,"National 
Instruments",,,1,BUENO,DISPONIBLE,
7999,A5,otros,Estacion de soldadura ERSA T-25,ERSA,T-25,,1,BUENO,DISPONIBLE,
9109,E,otros,hps Wechselstrommotor,hps,,,2,BUENO,DISPONIBLE,
10859,E,otros,Banco Capacitivo System Technik,System Technik,,,1,BUENO,DISPONIBLE,
24138,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24139,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24140,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24142,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24143,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24144,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24146,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24149,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24150,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24151,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
24152,F,osciloscopio,Osciloscopio Tektronics 2205,Tektronics,2205,,1,BUENO,DISPONIBLE,
